,id,uid,x,y,rw,rh,iw,ih,size,imgpath
0,c12_0,0,480,1813,65,21,69,25,1365,./img/img_c12_0.jpg
0,c12_1,1,695,1812,22,20,26,24,440,./img/img_c12_1.jpg
0,c12_2,2,593,1812,217,45,221,49,9765,./img/img_c12_2.jpg
0,c12_3,3,618,1846,13,3,0,0,39,
0,c12_4,4,556,1812,28,22,32,26,616,./img/img_c12_4.jpg
0,c12_5,5,728,1811,54,21,58,25,1134,./img/img_c12_5.jpg
0,c12_6,6,857,1810,64,21,68,25,1344,./img/img_c12_6.jpg
0,c12_7,7,793,1810,54,22,58,26,1188,./img/img_c12_7.jpg
0,c12_8,8,551,1715,301,70,305,74,21070,./img/img_c12_8.jpg
0,c12_9,9,587,1777,14,4,0,0,56,
0,c12_10,10,707,1775,12,5,0,0,60,
0,c12_11,11,728,1773,13,5,0,0,65,
0,c12_12,12,650,1767,12,3,0,0,36,
0,c12_13,13,550,1694,33,22,37,26,726,./img/img_c12_13.jpg
0,c12_14,14,593,1693,44,21,48,25,924,./img/img_c12_14.jpg
0,c12_15,15,600,1706,12,5,0,0,60,
0,c12_16,16,621,1705,13,4,0,0,52,
0,c12_17,17,647,1692,107,24,111,28,2568,./img/img_c12_17.jpg
0,c12_18,18,674,1704,11,3,0,0,33,
0,c12_19,19,693,1695,15,5,0,0,75,
0,c12_20,20,829,1691,22,21,26,25,462,./img/img_c12_20.jpg
0,c12_21,21,764,1691,55,22,59,26,1210,./img/img_c12_21.jpg
0,c12_22,22,785,1701,20,6,0,0,120,
0,c12_23,23,723,1667,53,21,57,25,1113,./img/img_c12_23.jpg
0,c12_24,24,757,1670,12,5,0,0,60,
0,c12_25,25,616,1667,94,25,98,29,2350,./img/img_c12_25.jpg
0,c12_26,26,695,1679,12,6,0,0,72,
0,c12_27,27,620,1675,13,6,0,0,78,
0,c12_28,28,654,1674,11,3,0,0,33,
0,c12_29,29,671,1672,15,4,0,0,60,
0,c12_30,30,675,1571,21,21,25,25,441,./img/img_c12_30.jpg
0,c12_31,31,579,1571,86,22,90,26,1892,./img/img_c12_31.jpg
0,c12_32,32,708,1570,63,22,67,26,1386,./img/img_c12_32.jpg
0,c12_33,33,713,1581,12,4,0,0,48,
0,c12_34,34,473,1550,43,20,47,24,860,./img/img_c12_34.jpg
0,c12_35,35,526,1548,64,22,68,26,1408,./img/img_c12_35.jpg
0,c12_36,36,834,1545,64,23,68,27,1472,./img/img_c12_36.jpg
0,c12_37,37,473,1501,52,22,56,26,1144,./img/img_c12_37.jpg
0,c12_38,38,834,1498,63,20,67,24,1260,./img/img_c12_38.jpg
0,c12_39,39,475,1478,52,22,56,26,1144,./img/img_c12_39.jpg
0,c12_40,40,537,1476,72,22,76,26,1584,./img/img_c12_40.jpg
0,c12_41,41,551,1490,11,3,0,0,33,
0,c12_42,42,801,1474,43,23,47,27,989,./img/img_c12_42.jpg
0,c12_43,43,854,1473,43,22,47,26,946,./img/img_c12_43.jpg
0,c12_44,44,569,1452,51,21,55,25,1071,./img/img_c12_44.jpg
0,c12_45,45,474,1452,83,25,87,29,2075,./img/img_c12_45.jpg
0,c12_46,46,832,1450,64,21,68,25,1344,./img/img_c12_46.jpg
0,c12_47,47,475,1430,81,21,85,25,1701,./img/img_c12_47.jpg
0,c12_48,48,800,1427,96,21,100,25,2016,./img/img_c12_48.jpg
0,c12_49,49,881,1437,12,4,0,0,48,
0,c12_50,50,475,1407,39,21,43,25,819,./img/img_c12_50.jpg
0,c12_51,51,481,1418,11,3,0,0,33,
0,c12_52,52,549,1406,42,21,46,25,882,./img/img_c12_52.jpg
0,c12_53,53,779,1404,40,21,44,25,840,./img/img_c12_53.jpg
0,c12_54,54,832,1403,63,21,67,25,1323,./img/img_c12_54.jpg
0,c12_55,55,474,1384,30,20,34,24,600,./img/img_c12_55.jpg
0,c12_56,56,726,1380,169,22,173,26,3718,./img/img_c12_56.jpg
0,c12_57,57,752,1394,14,4,0,0,56,
0,c12_58,58,783,1393,14,5,0,0,70,
0,c12_59,59,835,1387,15,7,0,0,105,
0,c12_60,60,866,1386,16,8,0,0,128,
0,c12_61,61,474,1361,40,20,44,24,800,./img/img_c12_61.jpg
0,c12_62,62,852,1357,43,20,47,24,860,./img/img_c12_62.jpg
0,c12_63,63,474,1338,43,22,47,26,946,./img/img_c12_63.jpg
0,c12_64,64,579,1336,40,20,44,24,800,./img/img_c12_64.jpg
0,c12_65,65,526,1336,43,21,47,25,903,./img/img_c12_65.jpg
0,c12_66,66,530,1345,11,3,0,0,33,
0,c12_67,67,747,1333,148,22,152,26,3256,./img/img_c12_67.jpg
0,c12_68,68,474,1314,43,22,47,26,946,./img/img_c12_68.jpg
0,c12_69,69,526,1313,51,21,55,25,1071,./img/img_c12_69.jpg
0,c12_70,70,530,1322,11,3,0,0,33,
0,c12_71,71,778,1311,43,20,47,24,860,./img/img_c12_71.jpg
0,c12_72,72,795,1321,12,4,0,0,48,
0,c12_73,73,831,1310,62,21,66,25,1302,./img/img_c12_73.jpg
0,c12_74,74,527,1293,18,18,22,22,324,./img/img_c12_74.jpg
0,c12_75,75,473,1291,43,21,47,25,903,./img/img_c12_75.jpg
0,c12_76,76,726,1287,168,22,172,26,3696,./img/img_c12_76.jpg
0,c12_77,77,631,1243,84,20,88,24,1680,./img/img_c12_77.jpg
0,c12_78,78,631,1197,63,20,67,24,1260,./img/img_c12_78.jpg
0,c12_79,79,704,1196,43,20,47,24,860,./img/img_c12_79.jpg
0,c12_80,80,707,1203,11,3,0,0,33,
0,c12_81,81,99,1153,11,5,0,0,55,
0,c12_82,82,473,1152,61,21,65,25,1281,./img/img_c12_82.jpg
0,c12_83,83,99,1138,4,8,0,0,32,
0,c12_84,84,473,1129,137,21,141,25,2877,./img/img_c12_84.jpg
0,c12_85,85,504,1140,12,4,0,0,48,
0,c12_86,86,883,1126,6,19,10,23,114,./img/img_c12_86.jpg
0,c12_87,87,777,1126,39,20,43,24,780,./img/img_c12_87.jpg
0,c12_88,88,96,1125,3,3,0,0,9,
0,c12_89,89,473,1106,105,22,109,26,2310,./img/img_c12_89.jpg
0,c12_90,90,519,1110,13,3,0,0,39,
0,c12_91,91,807,1103,83,20,87,24,1660,./img/img_c12_91.jpg
0,c12_92,92,828,1113,19,5,0,0,95,
0,c12_93,93,859,1112,16,6,0,0,96,
0,c12_94,94,502,1089,388,7,0,0,2716,
0,c12_95,95,594,1092,11,3,0,0,33,
0,c12_96,96,715,1091,15,3,0,0,45,
0,c12_97,97,861,1089,14,3,0,0,42,
0,c12_98,98,578,1059,73,23,77,27,1679,./img/img_c12_98.jpg
0,c12_99,99,662,1058,60,21,64,25,1260,./img/img_c12_99.jpg
0,c12_100,100,797,1057,52,22,56,26,1144,./img/img_c12_100.jpg
0,c12_101,101,831,1061,14,4,0,0,56,
0,c12_102,102,568,1038,21,19,25,23,399,./img/img_c12_102.jpg
