,id,x,y,rw,rh,iw,ih,size,imgpath
0,c12_307,446,75,513,1847,1861,517,947511,./img/img_c12_307.jpg
0,c12_308,448,79,510,1841,1855,514,938910,./img/img_c12_308.jpg
0,c12_283,548,168,266,93,93,270,24738,./img/img_c12_283.jpg
0,c12_306,664,170,48,34,36,52,1632,./img/img_c12_306.jpg
0,c12_305,692,180,13,3,0,0,39,
0,c12_282,11,196,2,1,0,0,2,
0,c12_304,797,200,12,3,0,0,36,
0,c12_303,704,201,18,7,0,0,126,
0,c12_302,729,201,39,55,59,43,2145,./img/img_c12_302.jpg
0,c12_301,612,202,61,55,57,65,3355,./img/img_c12_301.jpg
0,c12_300,770,202,41,5,0,0,205,
0,c12_299,549,203,22,19,21,26,418,./img/img_c12_299.jpg
0,c12_298,576,203,25,36,40,29,900,./img/img_c12_298.jpg
0,c12_297,673,203,57,55,57,61,3135,./img/img_c12_297.jpg
0,c12_296,593,205,18,18,22,22,324,./img/img_c12_296.jpg
0,c12_295,687,205,27,45,51,31,1215,./img/img_c12_295.jpg
0,c12_294,567,207,17,21,25,21,357,./img/img_c12_294.jpg
0,c12_293,638,207,15,18,22,19,270,./img/img_c12_293.jpg
0,c12_292,777,207,27,41,47,31,1107,./img/img_c12_292.jpg
0,c12_291,560,221,11,4,0,0,44,
0,c12_290,562,226,11,3,0,0,33,
0,c12_289,562,229,12,4,0,0,48,
0,c12_288,564,232,13,9,11,17,117,./img/img_c12_288.jpg
0,c12_287,638,233,16,18,22,20,288,./img/img_c12_287.jpg
0,c12_286,592,240,18,15,17,22,270,./img/img_c12_286.jpg
0,c12_285,567,241,19,15,17,23,285,./img/img_c12_285.jpg
0,c12_284,771,247,42,9,9,46,378,./img/img_c12_284.jpg
0,c12_266,565,263,260,69,69,264,17940,./img/img_c12_266.jpg
0,c12_281,770,265,36,43,47,40,1548,./img/img_c12_281.jpg
0,c12_280,717,266,51,57,61,55,2907,./img/img_c12_280.jpg
0,c12_279,612,267,104,57,59,108,5928,./img/img_c12_279.jpg
0,c12_278,566,269,44,55,59,48,2420,./img/img_c12_278.jpg
0,c12_265,584,271,1,1,0,0,1,
0,c12_263,674,271,30,47,53,34,1410,./img/img_c12_263.jpg
0,c12_277,746,271,20,13,15,24,260,./img/img_c12_277.jpg
0,c12_276,734,273,20,42,50,24,840,./img/img_c12_276.jpg
0,c12_275,585,274,26,16,18,30,416,./img/img_c12_275.jpg
0,c12_274,622,274,29,42,46,33,1218,./img/img_c12_274.jpg
0,c12_264,675,274,28,41,45,32,1148,./img/img_c12_264.jpg
0,c12_273,755,285,13,3,0,0,39,
0,c12_272,767,292,29,23,25,33,667,./img/img_c12_272.jpg
0,c12_271,610,297,13,8,0,0,104,
0,c12_270,612,306,13,4,0,0,52,
0,c12_269,794,311,12,5,0,0,60,
0,c12_268,770,312,11,3,0,0,33,
0,c12_267,770,314,34,8,0,0,272,
0,c12_256,693,339,79,25,25,83,1975,./img/img_c12_256.jpg
0,c12_253,596,340,57,24,24,61,1368,./img/img_c12_253.jpg
0,c12_250,662,340,22,24,28,26,528,./img/img_c12_250.jpg
0,c12_262,752,341,18,4,0,0,72,
0,c12_261,724,342,18,3,0,0,54,
0,c12_252,664,343,16,3,0,0,48,
0,c12_260,708,343,16,15,17,20,240,./img/img_c12_260.jpg
0,c12_259,724,347,13,6,0,0,78,
0,c12_258,695,348,13,5,0,0,65,
0,c12_255,599,350,15,4,0,0,60,
0,c12_251,664,352,16,3,0,0,48,
0,c12_254,633,354,17,5,0,0,85,
0,c12_257,724,357,18,5,0,0,90,
0,c12_249,624,404,84,21,21,88,1764,./img/img_c12_249.jpg
0,c12_248,716,404,33,20,22,37,660,./img/img_c12_248.jpg
0,c12_247,655,427,52,23,23,56,1196,./img/img_c12_247.jpg
0,c12_246,717,427,62,20,20,66,1240,./img/img_c12_246.jpg
0,c12_245,583,428,32,19,21,36,608,./img/img_c12_245.jpg
0,c12_244,625,428,18,20,24,22,360,./img/img_c12_244.jpg
0,c12_243,594,450,90,22,22,94,1980,./img/img_c12_243.jpg
0,c12_242,698,450,19,20,24,23,380,./img/img_c12_242.jpg
0,c12_240,727,450,50,20,20,54,1000,./img/img_c12_240.jpg
0,c12_241,763,463,11,3,0,0,33,
0,c12_239,625,473,124,21,21,128,2604,./img/img_c12_239.jpg
0,c12_236,872,494,20,19,21,24,380,./img/img_c12_236.jpg
0,c12_235,469,495,32,19,21,36,608,./img/img_c12_235.jpg
0,c12_234,511,495,53,20,20,57,1060,./img/img_c12_234.jpg
0,c12_233,810,495,52,21,21,56,1092,./img/img_c12_233.jpg
0,c12_230,575,496,72,20,20,76,1440,./img/img_c12_230.jpg
0,c12_232,608,498,11,5,0,0,55,
0,c12_238,875,498,11,3,0,0,33,
0,c12_237,875,500,11,3,0,0,33,
0,c12_231,608,502,11,9,11,15,99,./img/img_c12_231.jpg
0,c12_229,470,517,63,21,21,67,1323,./img/img_c12_229.jpg
0,c12_227,543,518,31,20,22,35,620,./img/img_c12_227.jpg
0,c12_226,584,519,42,20,20,46,840,./img/img_c12_226.jpg
0,c12_225,636,519,42,20,20,46,840,./img/img_c12_225.jpg
0,c12_228,557,522,11,13,17,15,143,./img/img_c12_228.jpg
0,c12_223,873,539,20,20,24,24,400,./img/img_c12_223.jpg
0,c12_222,546,540,19,21,25,23,399,./img/img_c12_222.jpg
0,c12_221,811,540,52,21,21,56,1092,./img/img_c12_221.jpg
0,c12_219,491,541,40,19,19,44,760,./img/img_c12_219.jpg
0,c12_218,574,541,11,20,26,15,220,./img/img_c12_218.jpg
0,c12_217,690,541,19,20,24,23,380,./img/img_c12_217.jpg
0,c12_215,595,542,62,20,20,66,1240,./img/img_c12_215.jpg
0,c12_214,667,543,10,20,28,14,200,./img/img_c12_214.jpg
0,c12_224,876,543,11,5,0,0,55,
0,c12_216,601,548,11,3,0,0,33,
0,c12_220,517,554,11,3,0,0,33,
0,c12_213,470,563,53,20,20,57,1060,./img/img_c12_213.jpg
0,c12_212,533,564,32,19,21,36,608,./img/img_c12_212.jpg
0,c12_210,874,584,19,20,24,23,380,./img/img_c12_210.jpg
0,c12_208,811,585,52,21,21,56,1092,./img/img_c12_208.jpg
0,c12_206,491,586,44,20,20,48,880,./img/img_c12_206.jpg
0,c12_205,546,586,19,20,24,23,380,./img/img_c12_205.jpg
0,c12_204,616,586,63,43,45,67,2709,./img/img_c12_204.jpg
0,c12_203,680,586,19,20,24,23,380,./img/img_c12_203.jpg
0,c12_202,575,587,11,19,25,15,209,./img/img_c12_202.jpg
0,c12_201,596,587,52,21,21,56,1092,./img/img_c12_201.jpg
0,c12_211,877,588,11,5,0,0,55,
0,c12_207,516,590,11,3,0,0,33,
0,c12_209,849,594,11,6,0,0,66,
0,c12_200,492,609,42,19,19,46,798,./img/img_c12_200.jpg
0,c12_199,544,609,61,22,22,65,1342,./img/img_c12_199.jpg
0,c12_198,1197,627,4,1,0,0,4,
0,c12_197,471,631,31,19,21,35,589,./img/img_c12_197.jpg
0,c12_196,513,631,32,20,22,36,640,./img/img_c12_196.jpg
0,c12_195,874,651,10,20,28,14,200,./img/img_c12_195.jpg
0,c12_194,812,652,52,21,21,56,1092,./img/img_c12_194.jpg
0,c12_193,547,653,19,21,25,23,399,./img/img_c12_193.jpg
0,c12_192,681,653,19,20,24,23,380,./img/img_c12_192.jpg
0,c12_191,492,654,42,19,19,46,798,./img/img_c12_191.jpg
0,c12_190,596,654,52,21,21,56,1092,./img/img_c12_190.jpg
0,c12_189,617,654,63,42,44,67,2646,./img/img_c12_189.jpg
0,c12_188,576,655,10,19,25,14,190,./img/img_c12_188.jpg
0,c12_187,494,676,41,20,20,45,820,./img/img_c12_187.jpg
0,c12_186,544,676,123,43,43,127,5289,./img/img_c12_186.jpg
0,c12_185,802,697,63,21,21,67,1323,./img/img_c12_185.jpg
0,c12_184,803,719,62,21,21,66,1302,./img/img_c12_184.jpg
0,c12_183,617,720,60,21,21,64,1260,./img/img_c12_183.jpg
0,c12_182,577,722,29,19,21,33,551,./img/img_c12_182.jpg
0,c12_180,813,741,52,22,22,56,1144,./img/img_c12_180.jpg
0,c12_179,577,744,80,22,22,84,1760,./img/img_c12_179.jpg
0,c12_181,847,745,14,4,0,0,56,
0,c12_178,87,759,1,1,0,0,1,
0,c12_177,803,764,64,21,21,68,1344,./img/img_c12_177.jpg
0,c12_176,621,765,58,21,21,62,1218,./img/img_c12_176.jpg
0,c12_175,115,779,2,2,0,0,4,
0,c12_174,855,786,13,20,26,17,260,./img/img_c12_174.jpg
0,c12_173,618,787,43,22,24,47,946,./img/img_c12_173.jpg
0,c12_172,671,788,59,20,20,63,1180,./img/img_c12_172.jpg
0,c12_171,577,811,50,21,21,54,1050,./img/img_c12_171.jpg
0,c12_170,804,831,63,22,22,67,1386,./img/img_c12_170.jpg
0,c12_168,577,834,42,20,20,46,840,./img/img_c12_168.jpg
0,c12_169,594,844,12,4,0,0,48,
0,c12_167,613,856,72,22,22,76,1584,./img/img_c12_167.jpg
0,c12_166,694,856,73,20,20,77,1460,./img/img_c12_166.jpg
0,c12_163,779,862,131,5,0,0,655,
0,c12_165,841,863,11,3,0,0,33,
0,c12_164,851,863,11,3,0,0,33,
0,c12_161,478,865,123,5,0,0,615,
0,c12_162,569,866,11,3,0,0,33,
0,c12_160,671,877,52,21,21,56,1092,./img/img_c12_160.jpg
0,c12_159,784,877,31,20,22,35,620,./img/img_c12_159.jpg
0,c12_158,825,877,40,19,19,44,760,./img/img_c12_158.jpg
0,c12_157,733,878,39,19,19,43,741,./img/img_c12_157.jpg
0,c12_156,598,879,42,20,20,46,840,./img/img_c12_156.jpg
0,c12_155,474,881,42,19,19,46,798,./img/img_c12_155.jpg
0,c12_154,825,899,42,20,20,46,840,./img/img_c12_154.jpg
0,c12_152,724,900,50,20,20,54,1000,./img/img_c12_152.jpg
0,c12_151,536,902,52,20,20,56,1040,./img/img_c12_151.jpg
0,c12_149,600,902,40,19,19,44,760,./img/img_c12_149.jpg
