,id,cntrid,uid,x,y,iw,ih,size,imgpath
0,c12_307_75_0,307,0,446,75,1852,514,951928,./img/img_c12_307_75_0.jpg
0,c12_307_75_0,307,1,446,75,1851,1234,2284134,./img/img_c12_307_75_0.jpg
0,c12_308_79_0,308,0,448,79,1846,511,943306,./img/img_c12_308_79_0.jpg
0,c12_308_79_0,308,1,448,79,1845,1230,2269350,./img/img_c12_308_79_0.jpg
0,c12_283_168_0,283,0,548,168,98,65,6370,./img/img_c12_283_168_0.jpg
0,c12_283_168_8,283,1,556,168,98,65,6370,./img/img_c12_283_168_8.jpg
0,c12_283_168_16,283,2,564,168,98,65,6370,./img/img_c12_283_168_16.jpg
0,c12_283_168_24,283,3,572,168,98,65,6370,./img/img_c12_283_168_24.jpg
0,c12_283_168_32,283,4,580,168,98,65,6370,./img/img_c12_283_168_32.jpg
0,c12_283_168_40,283,5,588,168,98,65,6370,./img/img_c12_283_168_40.jpg
0,c12_283_168_48,283,6,596,168,98,65,6370,./img/img_c12_283_168_48.jpg
0,c12_283_168_56,283,7,604,168,98,65,6370,./img/img_c12_283_168_56.jpg
0,c12_283_168_64,283,8,612,168,98,65,6370,./img/img_c12_283_168_64.jpg
0,c12_283_168_72,283,9,620,168,98,65,6370,./img/img_c12_283_168_72.jpg
0,c12_283_168_80,283,10,628,168,98,65,6370,./img/img_c12_283_168_80.jpg
0,c12_283_168_88,283,11,636,168,98,65,6370,./img/img_c12_283_168_88.jpg
0,c12_283_168_96,283,12,644,168,98,65,6370,./img/img_c12_283_168_96.jpg
0,c12_283_168_104,283,13,652,168,98,65,6370,./img/img_c12_283_168_104.jpg
0,c12_283_168_112,283,14,660,168,98,65,6370,./img/img_c12_283_168_112.jpg
0,c12_283_168_120,283,15,668,168,98,65,6370,./img/img_c12_283_168_120.jpg
0,c12_283_168_128,283,16,676,168,98,65,6370,./img/img_c12_283_168_128.jpg
0,c12_283_168_136,283,17,684,168,98,65,6370,./img/img_c12_283_168_136.jpg
0,c12_283_168_144,283,18,692,168,98,65,6370,./img/img_c12_283_168_144.jpg
