,id,x,y,rw,rh,iw,ih,size,imgpath,cy
0,c12_303,704,201,18,7,0,0,126,,201.0
0,c12_300,770,202,41,5,0,0,205,,202.0
0,c12_299,549,203,22,19,21,26,418,./img/img_c12_299.jpg,203.0
0,c12_296,593,205,18,18,22,22,324,./img/img_c12_296.jpg,205.0
0,c12_294,567,207,17,21,25,21,357,./img/img_c12_294.jpg,207.0
0,c12_293,638,207,15,18,22,19,270,./img/img_c12_293.jpg,207.0
0,c12_288,564,232,13,9,11,17,117,./img/img_c12_288.jpg,232.0
0,c12_287,638,233,16,18,22,20,288,./img/img_c12_287.jpg,233.0
0,c12_286,592,240,18,15,17,22,270,./img/img_c12_286.jpg,240.0
0,c12_285,567,241,19,15,17,23,285,./img/img_c12_285.jpg,241.0
0,c12_284,771,247,42,9,9,46,378,./img/img_c12_284.jpg,247.0
0,c12_277,746,271,20,13,15,24,260,./img/img_c12_277.jpg,271.0
0,c12_275,585,274,26,16,18,30,416,./img/img_c12_275.jpg,274.0
0,c12_271,610,297,13,8,0,0,104,,297.0
0,c12_269,794,311,12,5,0,0,60,,311.0
0,c12_267,770,314,34,8,0,0,272,,314.0
0,c12_260,708,343,16,15,17,20,240,./img/img_c12_260.jpg,343.0
0,c12_259,724,347,13,6,0,0,78,,347.0
0,c12_258,695,348,13,5,0,0,65,,348.0
0,c12_254,633,354,17,5,0,0,85,,354.0
0,c12_257,724,357,18,5,0,0,90,,357.0
0,c12_249,624,404,84,21,21,88,1764,./img/img_c12_249.jpg,404.0
0,c12_248,716,404,33,20,22,37,660,./img/img_c12_248.jpg,404.0
0,c12_246,717,427,62,20,20,66,1240,./img/img_c12_246.jpg,427.0
0,c12_245,583,428,32,19,21,36,608,./img/img_c12_245.jpg,428.0
0,c12_244,625,428,18,20,24,22,360,./img/img_c12_244.jpg,428.0
0,c12_242,698,450,19,20,24,23,380,./img/img_c12_242.jpg,450.0
0,c12_240,727,450,50,20,20,54,1000,./img/img_c12_240.jpg,450.0
0,c12_239,625,473,124,21,21,128,2604,./img/img_c12_239.jpg,473.0
0,c12_236,872,494,20,19,21,24,380,./img/img_c12_236.jpg,494.0
0,c12_235,469,495,32,19,21,36,608,./img/img_c12_235.jpg,495.0
0,c12_234,511,495,53,20,20,57,1060,./img/img_c12_234.jpg,495.0
0,c12_233,810,495,52,21,21,56,1092,./img/img_c12_233.jpg,495.0
0,c12_230,575,496,72,20,20,76,1440,./img/img_c12_230.jpg,496.0
0,c12_232,608,498,11,5,0,0,55,,498.0
0,c12_231,608,502,11,9,11,15,99,./img/img_c12_231.jpg,502.0
0,c12_229,470,517,63,21,21,67,1323,./img/img_c12_229.jpg,517.0
0,c12_227,543,518,31,20,22,35,620,./img/img_c12_227.jpg,518.0
0,c12_226,584,519,42,20,20,46,840,./img/img_c12_226.jpg,519.0
0,c12_225,636,519,42,20,20,46,840,./img/img_c12_225.jpg,519.0
0,c12_228,557,522,11,13,17,15,143,./img/img_c12_228.jpg,522.0
0,c12_223,873,539,20,20,24,24,400,./img/img_c12_223.jpg,539.0
0,c12_222,546,540,19,21,25,23,399,./img/img_c12_222.jpg,540.0
0,c12_221,811,540,52,21,21,56,1092,./img/img_c12_221.jpg,540.0
0,c12_219,491,541,40,19,19,44,760,./img/img_c12_219.jpg,541.0
0,c12_218,574,541,11,20,26,15,220,./img/img_c12_218.jpg,541.0
0,c12_217,690,541,19,20,24,23,380,./img/img_c12_217.jpg,541.0
0,c12_215,595,542,62,20,20,66,1240,./img/img_c12_215.jpg,542.0
0,c12_214,667,543,10,20,28,14,200,./img/img_c12_214.jpg,543.0
0,c12_224,876,543,11,5,0,0,55,,543.0
0,c12_213,470,563,53,20,20,57,1060,./img/img_c12_213.jpg,563.0
0,c12_212,533,564,32,19,21,36,608,./img/img_c12_212.jpg,564.0
