,id,uid,x,y,rw,rh,iw,ih,size,imgpath
0,ct1_0,0,1142,2003,1,1,0,0,1,
0,ct1_1,1,1174,1896,1,1,0,0,1,
0,ct1_2,2,1238,1878,1,1,0,0,1,
0,ct1_3,3,505,1857,6,7,0,0,42,
0,ct1_4,4,714,1845,126,30,30,130,3780,./img/img_ct1_4.jpg
0,ct1_5,5,789,1870,13,3,0,0,39,
0,ct1_6,6,794,1861,23,9,9,27,207,./img/img_ct1_6.jpg
0,ct1_7,7,426,1841,85,27,27,89,2295,./img/img_ct1_7.jpg
0,ct1_8,8,465,1863,11,3,0,0,33,
0,ct1_9,9,461,1858,15,4,0,0,60,
0,ct1_10,10,482,1855,13,3,0,0,39,
0,ct1_11,11,467,1852,15,3,0,0,45,
0,ct1_12,12,519,1840,51,26,28,55,1326,./img/img_ct1_12.jpg
0,ct1_13,13,536,1852,14,3,0,0,42,
0,ct1_14,14,664,1838,31,29,31,35,899,./img/img_ct1_14.jpg
0,ct1_15,15,671,1846,19,12,14,23,228,./img/img_ct1_15.jpg
0,ct1_16,16,589,1838,67,25,25,71,1675,./img/img_ct1_16.jpg
0,ct1_17,17,860,1837,87,35,35,91,3045,./img/img_ct1_17.jpg
0,ct1_18,18,929,1853,15,5,0,0,75,
0,ct1_19,19,917,1844,15,5,0,0,75,
0,ct1_20,20,709,1812,121,25,25,125,3025,./img/img_ct1_20.jpg
0,ct1_21,21,746,1832,11,3,0,0,33,
0,ct1_22,22,719,1831,12,3,0,0,36,
0,ct1_23,23,747,1824,14,7,0,0,98,
0,ct1_24,24,786,1821,11,3,0,0,33,
0,ct1_25,25,553,1812,120,18,18,124,2160,./img/img_ct1_25.jpg
0,ct1_26,26,559,1826,15,3,0,0,45,
0,ct1_27,27,659,1824,11,3,0,0,33,
0,ct1_28,28,572,1823,13,3,0,0,39,
0,ct1_29,29,592,1822,11,3,0,0,33,
0,ct1_30,30,554,1821,13,3,0,0,39,
0,ct1_31,31,597,1819,12,3,0,0,36,
0,ct1_32,32,637,1816,11,3,0,0,33,
0,ct1_33,33,592,1815,14,3,0,0,42,
0,ct1_34,34,867,1810,88,24,24,92,2112,./img/img_ct1_34.jpg
0,ct1_35,35,903,1829,12,3,0,0,36,
0,ct1_36,36,893,1825,13,3,0,0,39,
0,ct1_37,37,879,1821,13,3,0,0,39,
0,ct1_38,38,906,1819,12,3,0,0,36,
0,ct1_39,39,873,1817,14,4,0,0,56,
0,ct1_40,40,527,1808,16,23,27,20,368,./img/img_ct1_40.jpg
0,ct1_41,41,489,1808,27,24,26,31,648,./img/img_ct1_41.jpg
0,ct1_42,42,496,1813,14,5,0,0,70,
0,ct1_43,43,491,1810,14,3,0,0,42,
0,ct1_44,44,964,1802,15,21,25,19,315,./img/img_ct1_44.jpg
0,ct1_45,45,988,1800,25,19,21,29,475,./img/img_ct1_45.jpg
0,ct1_46,46,772,1779,58,18,18,62,1044,./img/img_ct1_46.jpg
0,ct1_47,47,776,1792,13,3,0,0,39,
0,ct1_48,48,778,1784,14,8,0,0,112,
0,ct1_49,49,230,1777,1,1,0,0,1,
0,ct1_50,50,845,1771,7,25,39,11,175,./img/img_ct1_50.jpg
0,ct1_51,51,740,1771,27,27,31,31,729,./img/img_ct1_51.jpg
0,ct1_52,52,551,1770,152,27,27,156,4104,./img/img_ct1_52.jpg
0,ct1_53,53,620,1789,13,3,0,0,39,
0,ct1_54,54,678,1785,12,3,0,0,36,
0,ct1_55,55,628,1782,11,3,0,0,33,
0,ct1_56,56,623,1778,13,3,0,0,39,
0,ct1_57,57,560,1772,16,3,0,0,48,
