,id,uid,x,y,rw,rh,iw,ih,size,imgpath,orig_y,prev_rec_y,chg_in_y
0,cv1_326,326,350,79,449,57,57,453,25593,./img/img_cv1_326.jpg,79,,
0,cv1_349,349,449,84,47,48,52,51,2256,./img/img_cv1_349.jpg,84,79,5
0,cv1_348,348,404,85,50,45,47,54,2250,./img/img_cv1_348.jpg,85,84,1
0,cv1_347,347,351,86,53,47,49,57,2491,./img/img_cv1_347.jpg,86,85,1
0,cv1_346,346,703,91,76,26,26,80,1976,./img/img_cv1_346.jpg,91,86,5
0,cv1_345,345,554,92,66,26,26,70,1716,./img/img_cv1_345.jpg,92,91,1
0,cv1_343,343,645,92,52,25,25,56,1300,./img/img_cv1_343.jpg,92,92,0
0,cv1_342,342,519,93,31,11,11,35,341,./img/img_cv1_342.jpg,93,92,1
0,cv1_341,341,622,93,22,24,28,26,528,./img/img_cv1_341.jpg,93,93,0
0,cv1_338,338,369,98,40,23,25,44,920,./img/img_cv1_338.jpg,98,93,5
0,cv1_322,322,598,105,11,10,12,15,110,./img/img_cv1_322.jpg,105,98,7
0,cv1_333,333,519,106,31,13,13,35,403,./img/img_cv1_333.jpg,106,105,1
0,cv1_332,332,700,106,17,11,13,21,187,./img/img_cv1_332.jpg,106,106,0
0,cv1_331,331,770,106,22,21,23,26,462,./img/img_cv1_331.jpg,106,106,0
0,cv1_329,329,441,108,38,12,12,42,456,./img/img_cv1_329.jpg,108,106,2
0,cv1_321,321,509,170,63,22,22,67,1386,./img/img_cv1_321.jpg,170,108,62
0,cv1_318,318,592,170,79,22,22,83,1738,./img/img_cv1_318.jpg,170,170,0
0,cv1_317,317,691,170,30,21,23,34,630,./img/img_cv1_317.jpg,170,170,0
0,cv1_315,315,427,171,63,22,22,67,1386,./img/img_cv1_315.jpg,171,170,1
0,cv1_314,314,361,201,112,23,23,116,2576,./img/img_cv1_314.jpg,201,171,30
0,cv1_309,309,492,201,124,23,23,128,2852,./img/img_cv1_309.jpg,201,201,0
0,cv1_308,308,642,201,28,22,24,32,616,./img/img_cv1_308.jpg,201,201,0
0,cv1_306,306,707,201,80,22,22,84,1760,./img/img_cv1_306.jpg,201,201,0
0,cv1_304,304,475,232,46,22,22,50,1012,./img/img_cv1_304.jpg,232,201,31
0,cv1_301,301,529,232,59,22,22,63,1298,./img/img_cv1_301.jpg,232,232,0
0,cv1_299,299,595,232,71,22,22,75,1562,./img/img_cv1_299.jpg,232,232,0
0,cv1_295,295,259,295,96,23,23,100,2208,./img/img_cv1_295.jpg,295,232,63
0,cv1_289,289,375,295,129,24,24,133,3096,./img/img_cv1_289.jpg,295,295,0
0,cv1_281,281,524,296,196,24,24,200,4704,./img/img_cv1_281.jpg,296,295,1
0,cv1_277,277,740,298,129,23,23,133,2967,./img/img_cv1_277.jpg,298,296,2
0,cv1_280,280,744,300,18,13,15,22,234,./img/img_cv1_280.jpg,300,298,2
0,cv1_288,288,693,301,22,9,9,26,198,./img/img_cv1_288.jpg,301,300,1
0,cv1_285,285,528,304,22,9,9,26,198,./img/img_cv1_285.jpg,304,301,3
0,cv1_274,274,258,360,97,26,26,101,2522,./img/img_cv1_274.jpg,360,304,56
0,cv1_273,273,374,361,43,26,28,47,1118,./img/img_cv1_273.jpg,361,360,1
0,cv1_270,270,441,362,96,25,25,100,2400,./img/img_cv1_270.jpg,362,361,1
0,cv1_268,268,259,427,13,23,29,17,299,./img/img_cv1_268.jpg,427,362,65
0,cv1_267,267,288,427,8,23,33,12,184,./img/img_cv1_267.jpg,427,427,0
0,cv1_265,265,312,427,38,24,26,42,912,./img/img_cv1_265.jpg,427,427,0
0,cv1_264,264,360,429,38,24,26,42,912,./img/img_cv1_264.jpg,429,427,2
0,cv1_263,263,409,429,50,24,24,54,1200,./img/img_cv1_263.jpg,429,429,0
0,cv1_261,261,470,430,47,24,26,51,1128,./img/img_cv1_261.jpg,430,429,1
0,cv1_259,259,543,431,49,24,24,53,1176,./img/img_cv1_259.jpg,431,430,1
0,cv1_258,258,631,432,65,25,25,69,1625,./img/img_cv1_258.jpg,432,431,1
0,cv1_257,257,288,461,8,22,32,12,176,./img/img_cv1_257.jpg,461,432,29
0,cv1_256,256,313,461,50,24,24,54,1200,./img/img_cv1_256.jpg,461,461,0
0,cv1_254,254,373,462,38,24,26,42,912,./img/img_cv1_254.jpg,462,461,1
