,id,uid,x,y,rw,rh,iw,ih,size,imgpath
0,cv1_0,0,857,1952,27,3,0,0,81,
0,cv1_1,1,5,1939,1,1,0,0,1,
0,cv1_2,2,5,1937,1,1,0,0,1,
0,cv1_3,3,678,1847,29,20,22,33,580,./img/img_cv1_3.jpg
0,cv1_4,4,580,1847,79,21,21,83,1659,./img/img_cv1_4.jpg
0,cv1_5,5,639,1857,16,5,0,0,80,
0,cv1_6,6,532,1847,29,21,23,33,609,./img/img_cv1_6.jpg
0,cv1_7,7,450,1847,62,22,22,66,1364,./img/img_cv1_7.jpg
0,cv1_8,8,456,1853,11,3,0,0,33,
0,cv1_9,9,368,1847,58,21,21,62,1218,./img/img_cv1_9.jpg
0,cv1_10,10,270,1847,79,21,21,83,1659,./img/img_cv1_10.jpg
0,cv1_11,11,727,1846,110,20,20,114,2200,./img/img_cv1_11.jpg
0,cv1_12,12,753,1857,15,4,0,0,60,
0,cv1_13,13,730,1853,16,7,0,0,112,
0,cv1_14,14,795,1852,14,7,0,0,98,
0,cv1_15,15,1378,1834,1,1,0,0,1,
0,cv1_16,16,711,1786,64,24,24,68,1536,./img/img_cv1_16.jpg
0,cv1_17,17,716,1795,13,6,0,0,78,
0,cv1_18,18,548,1786,145,24,24,149,3480,./img/img_cv1_18.jpg
0,cv1_19,19,550,1804,11,3,0,0,33,
0,cv1_20,20,553,1799,14,5,0,0,70,
0,cv1_21,21,615,1797,11,3,0,0,33,
0,cv1_22,22,634,1794,13,7,0,0,91,
0,cv1_23,23,575,1794,11,6,0,0,66,
0,cv1_24,24,553,1791,14,4,0,0,56,
0,cv1_25,25,681,1788,11,3,0,0,33,
0,cv1_26,26,482,1785,47,24,26,51,1128,./img/img_cv1_26.jpg
0,cv1_27,27,511,1798,11,3,0,0,33,
0,cv1_28,28,487,1794,14,6,0,0,84,
0,cv1_29,29,400,1785,64,24,24,68,1536,./img/img_cv1_29.jpg
0,cv1_30,30,451,1795,11,3,0,0,33,
0,cv1_31,31,335,1784,47,24,26,51,1128,./img/img_cv1_31.jpg
0,cv1_32,32,353,1803,11,3,0,0,33,
0,cv1_33,33,356,1797,17,5,0,0,85,
0,cv1_34,34,356,1790,17,5,0,0,85,
0,cv1_35,35,369,1786,11,3,0,0,33,
0,cv1_36,36,353,1786,11,3,0,0,33,
0,cv1_37,37,286,1723,586,22,22,590,12892,./img/img_cv1_37.jpg
0,cv1_38,38,517,1732,11,3,0,0,33,
0,cv1_39,39,435,1731,11,3,0,0,33,
0,cv1_40,40,321,1730,11,3,0,0,33,
0,cv1_41,41,288,1730,11,3,0,0,33,
0,cv1_42,42,680,1698,42,19,19,46,798,./img/img_cv1_42.jpg
0,cv1_43,43,696,1704,11,3,0,0,33,
0,cv1_44,44,681,1700,11,4,0,0,44,
0,cv1_45,45,736,1691,81,26,26,85,2106,./img/img_cv1_45.jpg
0,cv1_46,46,789,1709,11,3,0,0,33,
0,cv1_47,47,495,1689,171,26,26,175,4446,./img/img_cv1_47.jpg
0,cv1_48,48,603,1704,11,5,0,0,55,
0,cv1_49,49,585,1703,15,5,0,0,75,
0,cv1_50,50,282,1687,195,26,26,199,5070,./img/img_cv1_50.jpg
0,cv1_51,51,372,1702,12,5,0,0,60,
0,cv1_52,52,326,1697,11,3,0,0,33,
0,cv1_53,53,495,1663,43,19,19,47,817,./img/img_cv1_53.jpg
0,cv1_54,54,779,1658,57,25,25,61,1425,./img/img_cv1_54.jpg
0,cv1_55,55,723,1658,42,24,26,46,1008,./img/img_cv1_55.jpg
0,cv1_56,56,595,1657,114,26,26,118,2964,./img/img_cv1_56.jpg
0,cv1_57,57,618,1671,11,5,0,0,55,
0,cv1_58,58,596,1671,11,3,0,0,33,
0,cv1_59,59,552,1657,29,25,27,33,725,./img/img_cv1_59.jpg
0,cv1_60,60,426,1656,54,24,24,58,1296,./img/img_cv1_60.jpg
0,cv1_61,61,354,1655,56,24,24,60,1344,./img/img_cv1_61.jpg
0,cv1_62,62,369,1674,11,3,0,0,33,
0,cv1_63,63,392,1666,14,7,0,0,98,
0,cv1_64,64,282,1655,57,24,24,61,1368,./img/img_cv1_64.jpg
0,cv1_65,65,298,1673,11,3,0,0,33,
0,cv1_66,66,298,1667,11,3,0,0,33,
0,cv1_67,67,339,1630,100,19,19,104,1900,./img/img_cv1_67.jpg
0,cv1_68,68,355,1642,11,3,0,0,33,
0,cv1_69,69,398,1636,11,3,0,0,33,
0,cv1_70,70,384,1632,11,4,0,0,44,
0,cv1_71,71,369,1632,11,4,0,0,44,
0,cv1_72,72,668,1625,69,24,24,73,1656,./img/img_cv1_72.jpg
0,cv1_73,73,675,1637,11,6,0,0,66,
0,cv1_74,74,710,1634,11,4,0,0,44,
0,cv1_75,75,540,1625,112,24,24,116,2688,./img/img_cv1_75.jpg
0,cv1_76,76,625,1638,11,3,0,0,33,
0,cv1_77,77,571,1638,15,4,0,0,60,
0,cv1_78,78,453,1625,71,24,24,75,1704,./img/img_cv1_78.jpg
0,cv1_79,79,511,1638,11,3,0,0,33,
0,cv1_80,80,282,1624,43,23,25,47,989,./img/img_cv1_80.jpg
0,cv1_81,81,312,1635,11,3,0,0,33,
0,cv1_82,82,286,1630,11,3,0,0,33,
0,cv1_83,83,287,1595,586,19,19,590,11134,./img/img_cv1_83.jpg
0,cv1_84,84,486,1603,11,3,0,0,33,
0,cv1_85,85,371,1602,11,3,0,0,33,
0,cv1_86,86,402,1526,63,23,23,67,1449,./img/img_cv1_86.jpg
0,cv1_87,87,406,1534,17,7,0,0,119,
0,cv1_88,88,485,1525,128,26,26,132,3328,./img/img_cv1_88.jpg
0,cv1_89,89,526,1541,12,5,0,0,60,
0,cv1_90,90,489,1530,18,14,16,22,252,./img/img_cv1_90.jpg
0,cv1_91,91,287,1525,96,24,24,100,2304,./img/img_cv1_91.jpg
0,cv1_92,92,633,1524,75,24,24,79,1800,./img/img_cv1_92.jpg
0,cv1_93,93,673,1535,12,4,0,0,48,
0,cv1_94,94,779,1523,61,23,23,65,1403,./img/img_cv1_94.jpg
0,cv1_95,95,436,1493,130,25,25,134,3250,./img/img_cv1_95.jpg
0,cv1_96,96,474,1508,12,4,0,0,48,
0,cv1_97,97,474,1499,12,4,0,0,48,
0,cv1_98,98,254,1493,163,25,25,167,4075,./img/img_cv1_98.jpg
0,cv1_99,99,322,1512,11,3,0,0,33,
0,cv1_100,100,306,1512,11,3,0,0,33,
0,cv1_101,101,325,1507,14,4,0,0,56,
0,cv1_102,102,404,1504,11,3,0,0,33,
0,cv1_103,103,348,1501,11,8,0,0,88,
0,cv1_104,104,326,1498,14,5,0,0,70,
0,cv1_105,105,293,1498,13,4,0,0,52,
0,cv1_106,106,584,1492,63,25,25,67,1575,./img/img_cv1_106.jpg
0,cv1_107,107,586,1504,11,3,0,0,33,
0,cv1_108,108,605,1501,13,6,0,0,78,
0,cv1_109,109,621,1500,17,7,0,0,119,
0,cv1_110,110,666,1491,111,25,25,115,2775,./img/img_cv1_110.jpg
0,cv1_111,111,716,1500,11,3,0,0,33,
0,cv1_112,112,795,1490,78,25,25,82,1950,./img/img_cv1_112.jpg
0,cv1_113,113,816,1496,12,4,0,0,48,
0,cv1_114,114,800,1495,12,14,18,16,168,./img/img_cv1_114.jpg
0,cv1_115,115,437,1427,42,25,27,46,1050,./img/img_cv1_115.jpg
0,cv1_116,116,443,1442,12,3,0,0,36,
0,cv1_117,117,306,1426,112,24,24,116,2688,./img/img_cv1_117.jpg
0,cv1_118,118,392,1439,14,6,0,0,84,
0,cv1_119,119,326,1432,19,10,12,23,190,./img/img_cv1_119.jpg
0,cv1_120,120,392,1431,14,5,0,0,70,
0,cv1_121,121,503,1425,63,25,25,67,1575,./img/img_cv1_121.jpg
0,cv1_122,122,510,1441,11,3,0,0,33,
0,cv1_123,123,779,1424,29,22,24,33,638,./img/img_cv1_123.jpg
0,cv1_124,124,719,1424,36,23,25,40,828,./img/img_cv1_124.jpg
0,cv1_125,125,699,1424,24,23,25,28,552,./img/img_cv1_125.jpg
0,cv1_126,126,406,1361,64,25,25,68,1600,./img/img_cv1_126.jpg
0,cv1_127,127,408,1377,11,4,0,0,44,
0,cv1_128,128,431,1366,13,14,18,17,182,./img/img_cv1_128.jpg
0,cv1_129,129,488,1360,112,26,26,116,2912,./img/img_cv1_129.jpg
0,cv1_130,130,506,1380,11,3,0,0,33,
0,cv1_131,131,538,1379,12,3,0,0,36,
0,cv1_132,132,509,1375,13,4,0,0,52,
0,cv1_133,133,542,1373,17,5,0,0,85,
0,cv1_134,134,525,1369,13,6,0,0,78,
0,cv1_135,135,509,1366,13,4,0,0,52,
0,cv1_136,136,542,1365,17,6,0,0,102,
0,cv1_137,137,489,1363,11,3,0,0,33,
0,cv1_138,138,539,1362,11,3,0,0,33,
0,cv1_139,139,275,1360,113,24,24,117,2712,./img/img_cv1_139.jpg
0,cv1_140,140,293,1379,11,3,0,0,33,
0,cv1_141,141,296,1373,17,5,0,0,85,
0,cv1_142,142,342,1370,11,3,0,0,33,
0,cv1_143,143,296,1365,17,5,0,0,85,
0,cv1_144,144,700,1359,156,24,24,160,3744,./img/img_cv1_144.jpg
0,cv1_145,145,796,1377,11,3,0,0,33,
0,cv1_146,146,723,1373,11,3,0,0,33,
0,cv1_147,147,755,1370,15,7,0,0,105,
0,cv1_148,148,708,1366,15,8,0,0,120,
0,cv1_149,149,786,1365,18,10,12,22,180,./img/img_cv1_149.jpg
0,cv1_150,150,619,1359,62,24,24,66,1488,./img/img_cv1_150.jpg
0,cv1_151,151,636,1369,11,3,0,0,33,
0,cv1_152,152,488,1328,63,24,24,67,1512,./img/img_cv1_152.jpg
0,cv1_153,153,517,1340,13,5,0,0,65,
0,cv1_154,154,531,1333,14,7,0,0,98,
0,cv1_155,155,510,1333,18,7,0,0,126,
0,cv1_156,156,407,1328,62,24,24,66,1488,./img/img_cv1_156.jpg
0,cv1_157,157,413,1342,13,4,0,0,52,
0,cv1_158,158,451,1335,14,7,0,0,98,
0,cv1_159,159,427,1333,14,4,0,0,56,
0,cv1_160,160,731,1327,25,22,24,29,550,./img/img_cv1_160.jpg
0,cv1_161,161,735,1331,17,6,0,0,102,
0,cv1_162,162,651,1327,61,22,22,65,1342,./img/img_cv1_162.jpg
0,cv1_163,163,663,1340,13,3,0,0,39,
0,cv1_164,164,671,1331,13,5,0,0,65,
0,cv1_165,165,570,1327,62,23,23,66,1426,./img/img_cv1_165.jpg
0,cv1_166,166,598,1339,14,4,0,0,56,
0,cv1_167,167,576,1339,19,7,0,0,133,
0,cv1_168,168,614,1338,13,5,0,0,65,
0,cv1_169,169,612,1332,14,6,0,0,84,
0,cv1_170,170,735,1205,57,83,87,61,4731,./img/img_cv1_170.jpg
0,cv1_171,171,356,1203,369,86,86,373,31734,./img/img_cv1_171.jpg
0,cv1_172,172,660,1206,13,79,103,17,1027,./img/img_cv1_172.jpg
0,cv1_173,173,465,1206,13,80,104,17,1040,./img/img_cv1_173.jpg
0,cv1_174,174,649,1138,32,23,25,36,736,./img/img_cv1_174.jpg
0,cv1_175,175,383,1137,73,24,24,77,1752,./img/img_cv1_175.jpg
0,cv1_176,176,407,1073,50,23,23,54,1150,./img/img_cv1_176.jpg
0,cv1_177,177,297,1073,95,23,23,99,2185,./img/img_cv1_177.jpg
0,cv1_178,178,305,1085,13,4,0,0,52,
0,cv1_179,179,338,1084,17,7,0,0,119,
0,cv1_180,180,314,1079,13,3,0,0,39,
0,cv1_181,181,407,1041,122,24,24,126,2928,./img/img_cv1_181.jpg
0,cv1_182,182,298,1041,93,23,23,97,2139,./img/img_cv1_182.jpg
0,cv1_183,183,337,1050,18,9,11,22,162,./img/img_cv1_183.jpg
0,cv1_184,184,362,1045,18,7,0,0,126,
0,cv1_185,185,92,1022,3,3,0,0,9,
0,cv1_186,186,46,1015,3,2,0,0,6,
0,cv1_187,187,359,1009,74,23,23,78,1702,./img/img_cv1_187.jpg
0,cv1_188,188,298,1009,45,23,25,49,1035,./img/img_cv1_188.jpg
0,cv1_189,189,301,1018,11,6,0,0,66,
0,cv1_190,190,455,978,98,24,24,102,2352,./img/img_cv1_190.jpg
0,cv1_191,191,531,993,11,3,0,0,33,
0,cv1_192,192,531,983,11,5,0,0,55,
0,cv1_193,193,334,977,111,24,24,115,2664,./img/img_cv1_193.jpg
0,cv1_194,194,338,983,13,4,0,0,52,
0,cv1_195,195,298,977,25,23,25,29,575,./img/img_cv1_195.jpg
0,cv1_196,196,419,946,98,23,23,102,2254,./img/img_cv1_196.jpg
0,cv1_197,197,452,959,12,4,0,0,48,
0,cv1_198,198,300,945,108,24,24,112,2592,./img/img_cv1_198.jpg
0,cv1_199,199,372,956,11,3,0,0,33,
0,cv1_200,200,386,952,12,8,0,0,96,
0,cv1_201,201,347,913,194,25,25,198,4850,./img/img_cv1_201.jpg
0,cv1_202,202,423,922,11,7,0,0,77,
0,cv1_203,203,300,913,32,22,24,36,704,./img/img_cv1_203.jpg
0,cv1_204,204,371,882,171,24,24,175,4104,./img/img_cv1_204.jpg
0,cv1_205,205,300,881,44,23,25,48,1012,./img/img_cv1_205.jpg
0,cv1_206,206,432,850,49,24,24,53,1176,./img/img_cv1_206.jpg
0,cv1_207,207,359,849,58,24,24,62,1392,./img/img_cv1_207.jpg
0,cv1_208,208,300,849,48,23,23,52,1104,./img/img_cv1_208.jpg
0,cv1_209,209,359,817,74,24,24,78,1776,./img/img_cv1_209.jpg
0,cv1_210,210,375,822,14,4,0,0,56,
0,cv1_211,211,300,817,48,23,23,52,1104,./img/img_cv1_211.jpg
0,cv1_212,212,420,786,73,24,24,77,1752,./img/img_cv1_212.jpg
0,cv1_213,213,299,785,110,24,24,114,2640,./img/img_cv1_213.jpg
0,cv1_214,214,517,759,191,24,24,195,4584,./img/img_cv1_214.jpg
0,cv1_215,215,359,754,73,23,23,77,1679,./img/img_cv1_215.jpg
0,cv1_216,216,414,759,11,3,0,0,33,
0,cv1_217,217,299,753,49,23,23,53,1127,./img/img_cv1_217.jpg
0,cv1_218,218,660,727,25,23,25,29,575,./img/img_cv1_218.jpg
0,cv1_219,219,384,724,194,24,24,198,4656,./img/img_cv1_219.jpg
0,cv1_220,220,626,694,59,24,24,63,1416,./img/img_cv1_220.jpg
0,cv1_221,221,384,690,73,24,24,77,1752,./img/img_cv1_221.jpg
0,cv1_222,222,626,662,60,26,26,64,1560,./img/img_cv1_222.jpg
0,cv1_223,223,638,681,11,3,0,0,33,
0,cv1_224,224,667,666,11,3,0,0,33,
0,cv1_225,225,384,658,62,25,25,66,1550,./img/img_cv1_225.jpg
0,cv1_226,226,430,678,15,3,0,0,45,
0,cv1_227,227,421,670,15,3,0,0,45,
0,cv1_228,228,385,660,12,3,0,0,36,
0,cv1_229,229,653,631,32,23,25,36,736,./img/img_cv1_229.jpg
0,cv1_230,230,493,627,37,24,26,41,888,./img/img_cv1_230.jpg
0,cv1_231,231,420,626,62,24,24,66,1488,./img/img_cv1_231.jpg
0,cv1_232,232,385,626,24,23,25,28,552,./img/img_cv1_232.jpg
0,cv1_233,233,626,598,59,24,24,63,1416,./img/img_cv1_233.jpg
0,cv1_234,234,384,594,98,25,25,102,2450,./img/img_cv1_234.jpg
0,cv1_235,235,349,561,61,24,24,65,1464,./img/img_cv1_235.jpg
0,cv1_236,236,373,580,11,3,0,0,33,
0,cv1_237,237,323,561,14,23,29,18,322,./img/img_cv1_237.jpg
0,cv1_238,238,657,500,39,23,25,43,897,./img/img_cv1_238.jpg
0,cv1_239,239,631,500,22,23,27,26,506,./img/img_cv1_239.jpg
0,cv1_240,240,543,498,49,24,24,53,1176,./img/img_cv1_240.jpg
