,id,uid,x,y,rw,rh,iw,ih,size,imgpath
0,ik1_0,0,251,1976,97,40,0,0,3880,
0,ik1_1,1,236,1970,14,6,0,0,84,
0,ik1_2,2,205,1957,30,13,13,34,390,./img/img_ik1_2.jpg
0,ik1_3,3,1033,1950,13,6,0,0,78,
0,ik1_4,4,1052,1945,1,2,0,0,2,
0,ik1_5,5,161,1939,43,18,0,0,774,
0,ik1_6,6,137,1936,58,25,0,0,1450,
0,ik1_7,7,109,1917,50,22,0,0,1100,
0,ik1_8,8,93,1910,15,7,0,0,105,
0,ik1_9,9,89,1909,2,1,0,0,2,
0,ik1_10,10,85,1907,1,1,0,0,1,
0,ik1_11,11,78,1904,4,2,0,0,8,
0,ik1_12,12,75,1903,2,1,0,0,2,
0,ik1_13,13,69,1900,5,3,0,0,15,
0,ik1_14,14,54,1894,14,6,0,0,84,
0,ik1_15,15,49,1892,4,2,0,0,8,
0,ik1_16,16,46,1891,2,1,0,0,2,
0,ik1_17,17,38,1887,2,2,0,0,4,
0,ik1_18,18,22,1881,7,3,0,0,21,
0,ik1_19,19,1023,1880,3,1,0,0,3,
0,ik1_20,20,20,1880,1,1,0,0,1,
0,ik1_21,21,18,1879,1,1,0,0,1,
0,ik1_22,22,1048,1875,1,1,0,0,1,
0,ik1_23,23,6,1874,11,5,0,0,55,
0,ik1_24,24,0,1873,5,1,0,0,5,
0,ik1_25,25,1048,1872,1,1,0,0,1,
0,ik1_26,26,1026,1865,1,1,0,0,1,
0,ik1_27,27,356,1832,1,1,0,0,1,
0,ik1_28,28,354,1825,2,6,0,0,12,
0,ik1_29,29,1018,1823,1,1,0,0,1,
0,ik1_30,30,570,1793,16,24,30,20,384,./img/img_ik1_30.jpg
0,ik1_31,31,1023,1776,1,1,0,0,1,
0,ik1_32,32,596,1776,250,40,40,254,10000,./img/img_ik1_32.jpg
0,ik1_33,33,603,1804,15,7,0,0,105,
0,ik1_34,34,688,1800,14,5,0,0,70,
0,ik1_35,35,687,1798,11,3,0,0,33,
0,ik1_36,36,784,1797,12,3,0,0,36,
0,ik1_37,37,737,1794,13,6,0,0,78,
0,ik1_38,38,810,1782,16,19,23,20,304,./img/img_ik1_38.jpg
0,ik1_39,39,856,1773,14,26,32,18,364,./img/img_ik1_39.jpg
0,ik1_40,40,1023,1772,1,1,0,0,1,
0,ik1_41,41,1041,1750,1,1,0,0,1,
0,ik1_42,42,1041,1745,1,3,0,0,3,
0,ik1_43,43,1019,1727,1,1,0,0,1,
0,ik1_44,44,1038,1701,1,3,0,0,3,
0,ik1_45,45,1028,1693,2,1,0,0,2,
0,ik1_46,46,1016,1635,1,3,0,0,3,
0,ik1_47,47,1005,1628,1,1,0,0,1,
