,id,uid,x,y,rw,rh,iw,ih,size,imgpath,orig_y,prev_rec_y,chg_in_y
0,ik2_364,364,1022,238.0,16,11,13,20,176,./img/img_ik2_364.jpg,238,,
0,ik2_360,360,1021,262.0,20,12,14,24,240,./img/img_ik2_360.jpg,262,238.0,24.0
0,ik2_354,354,1036,286.0,9,10,14,13,90,./img/img_ik2_354.jpg,286,262.0,24.0
0,ik2_346,346,1042,368.0,5,9,15,9,45,./img/img_ik2_346.jpg,368,286.0,82.0
0,ik2_339,339,567,383.0,396,159,159,400,62964,./img/img_ik2_339.jpg,383,368.0,15.0
0,ik2_344,344,758,386.0,203,54,54,207,10962,./img/img_ik2_344.jpg,386,383.0,3.0
0,ik2_343,343,569,396.0,185,60,60,189,11100,./img/img_ik2_343.jpg,396,386.0,10.0
0,ik2_342,342,573,399.0,384,132,132,388,50688,./img/img_ik2_342.jpg,399,396.0,3.0
0,ik2_326,326,673,431.0,250,67,67,254,16750,./img/img_ik2_326.jpg,431,399.0,32.0
0,ik2_329,329,833,435.0,88,54,56,92,4752,./img/img_ik2_329.jpg,435,431.0,4.0
0,ik2_328,328,766,438.0,59,55,57,63,3245,./img/img_ik2_328.jpg,438,435.0,3.0
0,ik2_320,320,622,442.0,38,57,63,42,2166,./img/img_ik2_320.jpg,442,438.0,4.0
0,ik2_327,327,674,442.0,82,53,55,86,4346,./img/img_ik2_327.jpg,442,442.0,0.0
0,ik2_321,321,624,445.0,34,51,57,38,1734,./img/img_ik2_321.jpg,445,442.0,3.0
0,ik2_315,315,869,459.0,7,10,14,11,70,./img/img_ik2_315.jpg,459,445.0,14.0
0,ik2_341,341,729,475.0,232,62,62,236,14384,./img/img_ik2_341.jpg,475,459.0,16.0
0,ik2_340,340,569,487.0,162,52,52,166,8424,./img/img_ik2_340.jpg,487,475.0,12.0
0,ik2_292,292,628,672.0,54,24,24,58,1296,./img/img_ik2_292.jpg,672,487.0,185.0
0,ik2_287,287,695,672.0,258,52,52,262,13416,./img/img_ik2_287.jpg,672,672.0,0.0
0,ik2_285,285,487,676.0,92,22,22,96,2024,./img/img_ik2_285.jpg,676,672.0,4.0
0,ik2_283,283,592,678.0,24,18,20,28,432,./img/img_ik2_283.jpg,678,676.0,2.0
0,ik2_278,278,695,697.0,95,25,25,99,2375,./img/img_ik2_278.jpg,698,678.0,19.0
0,ik2_281,281,967,697.0,26,22,24,30,572,./img/img_ik2_281.jpg,697,697.0,0.0
