,id,uid,x,y,rw,rh,iw,ih,size,imgpath
0,mj1_0,0,480,1813,65,21,69,25,1365,./img/img_mj1_0.jpg
0,mj1_1,1,695,1812,22,20,26,24,440,./img/img_mj1_1.jpg
0,mj1_2,2,593,1812,217,45,221,49,9765,./img/img_mj1_2.jpg
0,mj1_3,3,618,1846,13,3,0,0,39,
0,mj1_4,4,556,1812,28,22,32,26,616,./img/img_mj1_4.jpg
0,mj1_5,5,728,1811,54,21,58,25,1134,./img/img_mj1_5.jpg
0,mj1_6,6,857,1810,64,21,68,25,1344,./img/img_mj1_6.jpg
0,mj1_7,7,793,1810,54,22,58,26,1188,./img/img_mj1_7.jpg
0,mj1_8,8,551,1715,301,70,305,74,21070,./img/img_mj1_8.jpg
0,mj1_9,9,587,1777,14,4,0,0,56,
0,mj1_10,10,707,1775,12,5,0,0,60,
0,mj1_11,11,728,1773,13,5,0,0,65,
0,mj1_12,12,650,1767,12,3,0,0,36,
0,mj1_13,13,550,1694,33,22,37,26,726,./img/img_mj1_13.jpg
0,mj1_14,14,593,1693,44,21,48,25,924,./img/img_mj1_14.jpg
0,mj1_15,15,600,1706,12,5,0,0,60,
0,mj1_16,16,621,1705,13,4,0,0,52,
0,mj1_17,17,647,1692,107,24,111,28,2568,./img/img_mj1_17.jpg
0,mj1_18,18,674,1704,11,3,0,0,33,
0,mj1_19,19,693,1695,15,5,0,0,75,
0,mj1_20,20,829,1691,22,21,26,25,462,./img/img_mj1_20.jpg
0,mj1_21,21,764,1691,55,22,59,26,1210,./img/img_mj1_21.jpg
0,mj1_22,22,785,1701,20,6,0,0,120,
0,mj1_23,23,723,1667,53,21,57,25,1113,./img/img_mj1_23.jpg
0,mj1_24,24,757,1670,12,5,0,0,60,
0,mj1_25,25,616,1667,94,25,98,29,2350,./img/img_mj1_25.jpg
0,mj1_26,26,695,1679,12,6,0,0,72,
0,mj1_27,27,620,1675,13,6,0,0,78,
0,mj1_28,28,654,1674,11,3,0,0,33,
0,mj1_29,29,671,1672,15,4,0,0,60,
0,mj1_30,30,675,1571,21,21,25,25,441,./img/img_mj1_30.jpg
0,mj1_31,31,579,1571,86,22,90,26,1892,./img/img_mj1_31.jpg
0,mj1_32,32,708,1570,63,22,67,26,1386,./img/img_mj1_32.jpg
0,mj1_33,33,713,1581,12,4,0,0,48,
0,mj1_34,34,473,1550,43,20,47,24,860,./img/img_mj1_34.jpg
0,mj1_35,35,526,1548,64,22,68,26,1408,./img/img_mj1_35.jpg
0,mj1_36,36,834,1545,64,23,68,27,1472,./img/img_mj1_36.jpg
0,mj1_37,37,473,1501,52,22,56,26,1144,./img/img_mj1_37.jpg
0,mj1_38,38,834,1498,63,20,67,24,1260,./img/img_mj1_38.jpg
0,mj1_39,39,475,1478,52,22,56,26,1144,./img/img_mj1_39.jpg
0,mj1_40,40,537,1476,72,22,76,26,1584,./img/img_mj1_40.jpg
0,mj1_41,41,551,1490,11,3,0,0,33,
0,mj1_42,42,801,1474,43,23,47,27,989,./img/img_mj1_42.jpg
0,mj1_43,43,854,1473,43,22,47,26,946,./img/img_mj1_43.jpg
0,mj1_44,44,569,1452,51,21,55,25,1071,./img/img_mj1_44.jpg
0,mj1_45,45,474,1452,83,25,87,29,2075,./img/img_mj1_45.jpg
0,mj1_46,46,832,1450,64,21,68,25,1344,./img/img_mj1_46.jpg
0,mj1_47,47,475,1430,81,21,85,25,1701,./img/img_mj1_47.jpg
0,mj1_48,48,800,1427,96,21,100,25,2016,./img/img_mj1_48.jpg
0,mj1_49,49,881,1437,12,4,0,0,48,
0,mj1_50,50,475,1407,39,21,43,25,819,./img/img_mj1_50.jpg
0,mj1_51,51,481,1418,11,3,0,0,33,
0,mj1_52,52,549,1406,42,21,46,25,882,./img/img_mj1_52.jpg
0,mj1_53,53,779,1404,40,21,44,25,840,./img/img_mj1_53.jpg
0,mj1_54,54,832,1403,63,21,67,25,1323,./img/img_mj1_54.jpg
0,mj1_55,55,474,1384,30,20,34,24,600,./img/img_mj1_55.jpg
0,mj1_56,56,726,1380,169,22,173,26,3718,./img/img_mj1_56.jpg
0,mj1_57,57,752,1394,14,4,0,0,56,
0,mj1_58,58,783,1393,14,5,0,0,70,
0,mj1_59,59,835,1387,15,7,0,0,105,
0,mj1_60,60,866,1386,16,8,0,0,128,
0,mj1_61,61,474,1361,40,20,44,24,800,./img/img_mj1_61.jpg
0,mj1_62,62,852,1357,43,20,47,24,860,./img/img_mj1_62.jpg
0,mj1_63,63,474,1338,43,22,47,26,946,./img/img_mj1_63.jpg
0,mj1_64,64,579,1336,40,20,44,24,800,./img/img_mj1_64.jpg
0,mj1_65,65,526,1336,43,21,47,25,903,./img/img_mj1_65.jpg
0,mj1_66,66,530,1345,11,3,0,0,33,
0,mj1_67,67,747,1333,148,22,152,26,3256,./img/img_mj1_67.jpg
0,mj1_68,68,474,1314,43,22,47,26,946,./img/img_mj1_68.jpg
0,mj1_69,69,526,1313,51,21,55,25,1071,./img/img_mj1_69.jpg
0,mj1_70,70,530,1322,11,3,0,0,33,
0,mj1_71,71,778,1311,43,20,47,24,860,./img/img_mj1_71.jpg
0,mj1_72,72,795,1321,12,4,0,0,48,
