,id,uid,x,y,rw,rh,iw,ih,size,imgpath,orig_y,prev_rec_y,chg_in_y
0,sw1_1147,1147,378,0.0,9,19,0,13,171,./img/img_sw1_1147.jpg,0,,
0,sw1_1144,1144,1321,0.0,5,9,0,9,45,./img/img_sw1_1144.jpg,0,0.0,0.0
0,sw1_1137,1137,488,15.0,16,11,13,20,176,./img/img_sw1_1137.jpg,15,0.0,15.0
0,sw1_1123,1123,1273,55.0,6,10,16,10,60,./img/img_sw1_1123.jpg,55,15.0,40.0
0,sw1_1100,1100,1242,77.0,19,14,16,23,266,./img/img_sw1_1100.jpg,77,55.0,22.0
0,sw1_1070,1070,1224,148.0,7,14,22,11,98,./img/img_sw1_1070.jpg,148,77.0,71.0
0,sw1_1043,1043,857,159.0,105,91,93,109,9555,./img/img_sw1_1043.jpg,159,148.0,11.0
0,sw1_1064,1064,884,163.0,52,81,87,56,4212,./img/img_sw1_1064.jpg,164,159.0,4.0
0,sw1_1065,1065,909,163.0,44,37,39,48,1628,./img/img_sw1_1065.jpg,163,163.0,0.0
0,sw1_1039,1039,1061,167.0,280,493,499,284,138040,./img/img_sw1_1039.jpg,167,163.0,4.0
0,sw1_1006,1006,469,172.0,328,73,73,332,23944,./img/img_sw1_1006.jpg,172,167.0,5.0
0,sw1_997,997,784,172.0,61,66,70,65,4026,./img/img_sw1_997.jpg,174,172.0,0.0
0,sw1_1005,1005,1214,172.0,5,18,32,9,90,./img/img_sw1_1005.jpg,172,172.0,0.0
0,sw1_1036,1036,472,178.0,37,33,35,41,1221,./img/img_sw1_1036.jpg,178,172.0,6.0
0,sw1_1032,1032,578,178.0,14,49,63,18,686,./img/img_sw1_1032.jpg,181,178.0,0.0
0,sw1_1035,1035,594,178.0,24,9,9,28,216,./img/img_sw1_1035.jpg,179,178.0,0.0
0,sw1_1034,1034,625,178.0,15,62,78,19,930,./img/img_sw1_1034.jpg,179,178.0,0.0
0,sw1_1033,1033,642,178.0,22,9,9,26,198,./img/img_sw1_1033.jpg,179,178.0,0.0
0,sw1_1002,1002,810,178.0,32,27,29,36,864,./img/img_sw1_1002.jpg,179,178.0,0.0
0,sw1_1061,1061,859,184.0,27,16,18,31,432,./img/img_sw1_1061.jpg,184,178.0,6.0
0,sw1_1029,1029,591,189.0,33,13,13,37,429,./img/img_sw1_1029.jpg,189,184.0,5.0
0,sw1_1028,1028,673,189.0,16,16,20,20,256,./img/img_sw1_1028.jpg,189,189.0,0.0
0,sw1_1027,1027,697,195.0,19,11,13,23,209,./img/img_sw1_1027.jpg,195,189.0,6.0
0,sw1_1024,1024,594,203.0,23,11,11,27,253,./img/img_sw1_1024.jpg,203,195.0,8.0
0,sw1_1022,1022,684,203.0,23,27,31,27,621,./img/img_sw1_1022.jpg,205,203.0,0.0
0,sw1_1023,1023,759,203.0,18,14,16,22,252,./img/img_sw1_1023.jpg,204,203.0,0.0
0,sw1_1020,1020,535,211.0,16,9,11,20,144,./img/img_sw1_1020.jpg,211,203.0,8.0
0,sw1_1019,1019,717,211.0,13,15,19,17,195,./img/img_sw1_1019.jpg,213,211.0,0.0
0,sw1_1016,1016,745,211.0,14,14,18,18,196,./img/img_sw1_1016.jpg,216,211.0,0.0
0,sw1_1055,1055,859,211.0,27,10,10,31,270,./img/img_sw1_1055.jpg,215,211.0,0.0
0,sw1_966,966,406,221.0,5,34,60,9,170,./img/img_sw1_966.jpg,223,211.0,10.0
0,sw1_1014,1014,543,221.0,24,9,9,28,216,./img/img_sw1_1014.jpg,221,221.0,0.0
0,sw1_1049,1049,885,226.0,19,10,12,23,190,./img/img_sw1_1049.jpg,226,221.0,5.0
0,sw1_1007,1007,471,229.0,34,11,11,38,374,./img/img_sw1_1007.jpg,232,226.0,3.0
0,sw1_1009,1009,579,229.0,11,12,16,15,132,./img/img_sw1_1009.jpg,229,229.0,0.0
0,sw1_1008,1008,641,229.0,22,10,10,26,220,./img/img_sw1_1008.jpg,231,229.0,0.0
0,sw1_958,958,129,235.0,27,32,36,31,864,./img/img_sw1_958.jpg,235,229.0,6.0
0,sw1_1046,1046,869,235.0,40,12,12,44,480,./img/img_sw1_1046.jpg,236,235.0,0.0
0,sw1_956,956,958,235.0,11,13,17,15,143,./img/img_sw1_956.jpg,236,235.0,0.0
0,sw1_952,952,217,247.0,13,14,18,17,182,./img/img_sw1_952.jpg,247,235.0,12.0
0,sw1_947,947,399,265.0,12,13,17,16,156,./img/img_sw1_947.jpg,265,247.0,18.0
0,sw1_941,941,1230,282.0,5,14,24,9,70,./img/img_sw1_941.jpg,282,265.0,17.0
0,sw1_930,930,460,299.0,41,20,20,45,820,./img/img_sw1_930.jpg,303,282.0,17.0
0,sw1_931,931,515,299.0,230,24,24,234,5520,./img/img_sw1_931.jpg,302,299.0,0.0
0,sw1_936,936,760,299.0,135,22,22,139,2970,./img/img_sw1_936.jpg,299,299.0,0.0
0,sw1_929,929,910,299.0,41,17,17,45,697,./img/img_sw1_929.jpg,303,299.0,0.0
0,sw1_934,934,1076,299.0,5,19,33,9,95,./img/img_sw1_934.jpg,301,299.0,0.0
0,sw1_933,933,603,306.0,12,13,17,16,156,./img/img_sw1_933.jpg,306,299.0,7.0
0,sw1_922,922,1235,314.0,14,95,121,18,1330,./img/img_sw1_922.jpg,314,306.0,8.0
0,sw1_915,915,275,326.0,11,26,34,15,286,./img/img_sw1_915.jpg,327,314.0,12.0
0,sw1_912,912,569,326.0,23,21,23,27,483,./img/img_sw1_912.jpg,329,326.0,0.0
0,sw1_910,910,610,326.0,106,21,21,110,2226,./img/img_sw1_910.jpg,329,326.0,0.0
0,sw1_916,916,844,326.0,79,21,21,83,1659,./img/img_sw1_916.jpg,326,326.0,0.0
0,sw1_907,907,733,332.0,94,17,17,98,1598,./img/img_sw1_907.jpg,332,326.0,6.0
0,sw1_905,905,463,335.0,62,17,17,66,1054,./img/img_sw1_905.jpg,335,332.0,3.0
0,sw1_904,904,533,335.0,22,15,17,26,330,./img/img_sw1_904.jpg,335,335.0,0.0
0,sw1_899,899,79,349.0,14,12,14,18,168,./img/img_sw1_899.jpg,349,335.0,14.0
0,sw1_882,882,104,403.0,20,16,18,24,320,./img/img_sw1_882.jpg,403,349.0,54.0
0,sw1_879,879,1245,410.0,5,33,59,9,165,./img/img_sw1_879.jpg,410,403.0,7.0
0,sw1_876,876,335,419.0,13,26,34,17,338,./img/img_sw1_876.jpg,419,410.0,9.0
0,sw1_873,873,312,424.0,5,10,18,9,50,./img/img_sw1_873.jpg,424,419.0,5.0
0,sw1_862,862,610,436.0,41,23,25,45,943,./img/img_sw1_862.jpg,438,424.0,12.0
0,sw1_863,863,664,436.0,150,24,24,154,3600,./img/img_sw1_863.jpg,436,436.0,0.0
0,sw1_867,867,764,436.0,14,14,18,18,196,./img/img_sw1_867.jpg,440,436.0,0.0
