,id,uid,x,y,rw,rh,iw,ih,size,imgpath
0,sw1_0,0,801,2011,5,3,0,0,15,
0,sw1_1,1,309,2005,1,1,0,0,1,
0,sw1_2,2,24,1996,1,1,0,0,1,
0,sw1_3,3,528,1993,4,4,0,0,16,
0,sw1_4,4,492,1987,3,3,0,0,9,
0,sw1_5,5,1232,1984,1,2,0,0,2,
0,sw1_6,6,992,1984,39,2,0,0,78,
0,sw1_7,7,957,1984,25,1,0,0,25,
0,sw1_8,8,935,1983,13,1,0,0,13,
0,sw1_9,9,865,1980,52,3,0,0,156,
0,sw1_10,10,826,1979,13,2,0,0,26,
0,sw1_11,11,813,1979,2,2,0,0,4,
0,sw1_12,12,760,1978,14,1,0,0,14,
0,sw1_13,13,722,1977,33,1,0,0,33,
0,sw1_14,14,697,1976,2,1,0,0,2,
0,sw1_15,15,425,1970,245,6,0,0,1470,
0,sw1_16,16,420,1969,4,1,0,0,4,
0,sw1_17,17,411,1968,2,1,0,0,2,
0,sw1_18,18,404,1967,3,1,0,0,3,
0,sw1_19,19,190,1964,3,2,0,0,6,
0,sw1_20,20,162,1956,1,1,0,0,1,
0,sw1_21,21,162,1952,2,3,0,0,6,
0,sw1_22,22,390,1949,1,5,0,0,5,
0,sw1_23,23,267,1948,1,1,0,0,1,
0,sw1_24,24,265,1945,2,2,0,0,4,
0,sw1_25,25,389,1932,1,7,0,0,7,
0,sw1_26,26,388,1907,2,24,0,0,48,
0,sw1_27,27,281,1901,1,1,0,0,1,
0,sw1_28,28,6,1900,1,1,0,0,1,
0,sw1_29,29,0,1892,8,8,0,0,64,
0,sw1_30,30,71,1885,5,11,19,9,55,./img/img_sw1_30.jpg
0,sw1_31,31,1223,1884,2,2,0,0,4,
0,sw1_32,32,387,1879,2,26,0,0,52,
0,sw1_33,33,234,1875,4,4,0,0,16,
0,sw1_34,34,218,1856,1,1,0,0,1,
0,sw1_35,35,387,1855,1,23,0,0,23,
0,sw1_36,36,387,1849,1,4,0,0,4,
0,sw1_37,37,10,1848,2,2,0,0,4,
0,sw1_38,38,386,1839,2,4,0,0,8,
0,sw1_39,39,188,1837,2,1,0,0,2,
0,sw1_40,40,822,1817,111,22,22,115,2442,./img/img_sw1_40.jpg
0,sw1_41,41,842,1829,18,6,0,0,108,
0,sw1_42,42,884,1828,15,8,0,0,120,
0,sw1_43,43,831,1821,16,7,0,0,112,
0,sw1_44,44,709,1814,98,23,23,102,2254,./img/img_sw1_44.jpg
0,sw1_45,45,783,1827,12,7,0,0,84,
0,sw1_46,46,784,1825,11,3,0,0,33,
0,sw1_47,47,727,1822,11,3,0,0,33,
0,sw1_48,48,755,1819,26,7,0,0,182,
0,sw1_49,49,441,1813,55,22,22,59,1210,./img/img_sw1_49.jpg
0,sw1_50,50,624,1812,70,23,23,74,1610,./img/img_sw1_50.jpg
0,sw1_51,51,627,1818,17,6,0,0,102,
0,sw1_52,52,515,1811,95,23,23,99,2185,./img/img_sw1_52.jpg
0,sw1_53,53,529,1824,12,5,0,0,60,
0,sw1_54,54,549,1823,11,3,0,0,33,
0,sw1_55,55,552,1817,17,3,0,0,51,
0,sw1_56,56,529,1815,12,6,0,0,72,
0,sw1_57,57,94,1806,1,1,0,0,1,
0,sw1_58,58,12,1806,4,4,0,0,16,
0,sw1_59,59,96,1805,1,1,0,0,1,
0,sw1_60,60,103,1804,1,1,0,0,1,
0,sw1_61,61,101,1802,3,1,0,0,3,
0,sw1_62,62,248,1799,3,3,0,0,9,
0,sw1_63,63,512,1798,4,1,0,0,4,
0,sw1_64,64,513,1790,3,2,0,0,6,
0,sw1_65,65,752,1788,41,22,24,45,902,./img/img_sw1_65.jpg
0,sw1_66,66,681,1786,56,23,23,60,1288,./img/img_sw1_66.jpg
0,sw1_67,67,685,1791,11,5,0,0,55,
0,sw1_68,68,610,1785,56,22,22,60,1232,./img/img_sw1_68.jpg
0,sw1_69,69,627,1798,13,5,0,0,65,
0,sw1_70,70,627,1789,14,6,0,0,84,
0,sw1_71,71,568,1785,28,21,23,32,588,./img/img_sw1_71.jpg
0,sw1_72,72,580,1797,11,3,0,0,33,
0,sw1_73,73,516,1785,37,21,23,41,777,./img/img_sw1_73.jpg
0,sw1_74,74,529,1797,16,5,0,0,80,
0,sw1_75,75,529,1789,16,5,0,0,80,
0,sw1_76,76,46,1784,4,6,0,0,24,
0,sw1_77,77,748,1770,4,12,0,0,48,
0,sw1_78,78,386,1770,2,68,0,0,136,
0,sw1_79,79,772,1761,98,23,23,102,2254,./img/img_sw1_79.jpg
0,sw1_80,80,855,1774,12,4,0,0,48,
0,sw1_81,81,784,1766,26,14,16,30,364,./img/img_sw1_81.jpg
0,sw1_82,82,784,1765,12,7,0,0,84,
0,sw1_83,83,545,1758,217,24,24,221,5208,./img/img_sw1_83.jpg
0,sw1_84,84,720,1771,15,7,0,0,105,
0,sw1_85,85,657,1771,11,4,0,0,44,
0,sw1_86,86,558,1768,11,3,0,0,33,
0,sw1_87,87,712,1765,13,7,0,0,91,
0,sw1_88,88,662,1763,12,4,0,0,48,
0,sw1_89,89,592,1762,11,4,0,0,44,
0,sw1_90,90,1042,1739,25,248,286,29,6200,./img/img_sw1_90.jpg
0,sw1_91,91,1473,1728,6,3,0,0,18,
0,sw1_92,92,1473,1726,5,2,0,0,10,
0,sw1_93,93,1407,1721,4,4,0,0,16,
0,sw1_94,94,1065,1720,2,18,0,0,36,
0,sw1_95,95,386,1710,2,56,0,0,112,
0,sw1_96,96,329,1703,4,3,0,0,12,
0,sw1_97,97,23,1701,1,1,0,0,1,
0,sw1_98,98,298,1699,1,1,0,0,1,
0,sw1_99,99,25,1697,1,2,0,0,2,
0,sw1_100,100,163,1695,5,7,0,0,35,
0,sw1_101,101,0,1690,7,3,0,0,21,
0,sw1_102,102,1498,1682,3,1,0,0,3,
0,sw1_103,103,123,1656,4,3,0,0,12,
0,sw1_104,104,1384,1633,6,3,0,0,18,
0,sw1_105,105,8,1628,1,1,0,0,1,
0,sw1_106,106,125,1625,3,5,0,0,15,
0,sw1_107,107,13,1621,1,1,0,0,1,
0,sw1_108,108,1376,1614,1,1,0,0,1,
0,sw1_109,109,212,1610,1,1,0,0,1,
0,sw1_110,110,212,1608,1,1,0,0,1,
0,sw1_111,111,376,1601,1,1,0,0,1,
0,sw1_112,112,330,1600,1,1,0,0,1,
0,sw1_113,113,376,1599,1,1,0,0,1,
0,sw1_114,114,200,1590,1,1,0,0,1,
0,sw1_115,115,1274,1583,1,1,0,0,1,
0,sw1_116,116,804,1581,90,180,188,94,16200,./img/img_sw1_116.jpg
0,sw1_117,117,527,1581,268,179,181,272,47972,./img/img_sw1_117.jpg
0,sw1_118,118,755,1745,13,7,0,0,91,
0,sw1_119,119,783,1712,11,3,0,0,33,
0,sw1_120,120,755,1700,15,45,57,19,675,./img/img_sw1_120.jpg
0,sw1_121,121,557,1651,11,3,0,0,33,
0,sw1_122,122,1184,1579,1,1,0,0,1,
0,sw1_123,123,1185,1575,1,2,0,0,2,
0,sw1_124,124,56,1575,1,1,0,0,1,
0,sw1_125,125,1123,1573,5,5,0,0,25,
0,sw1_126,126,1186,1571,1,2,0,0,2,
0,sw1_127,127,1200,1563,2,2,0,0,4,
0,sw1_128,128,74,1553,7,8,0,0,56,
0,sw1_129,129,90,1542,2,2,0,0,4,
0,sw1_130,130,55,1537,1,1,0,0,1,
0,sw1_131,131,1102,1534,2,3,0,0,6,
0,sw1_132,132,805,1534,24,4,0,0,96,
0,sw1_133,133,774,1534,8,4,0,0,32,
0,sw1_134,134,450,1534,313,7,0,0,2191,
0,sw1_135,135,94,1534,5,4,0,0,20,
0,sw1_136,136,56,1534,1,1,0,0,1,
0,sw1_137,137,903,1533,14,4,0,0,56,
